2015-05-26 20:42:20,857 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:42:20,862 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:42:20,863 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:42:20,867 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:42:27,231 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-05-26 20:42:41,229 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-05-26 20:42:54,310 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\dev\priva\TeamTool\parent
2015-05-26 20:42:54,311 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-05-26 20:43:09,395 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.samuk.teamtool:parent:0.0.1-SNAPSHOT @ C:\dev\priva\TeamTool\parent\pom.xml.
2015-05-26 20:43:09,470 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
2015-05-26 20:43:09,666 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:43:09,675 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:43:09,677 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:43:09,685 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:43:14,428 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-05-26 20:43:34,702 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\dev\priva\TeamTool\parent
2015-05-26 20:43:34,706 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-05-26 20:48:41,367 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-05-26 20:48:41,506 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\dev\priva\TeamTool\tt-orm
2015-05-26 20:48:41,518 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-05-26 20:49:45,879 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
2015-05-26 20:49:45,910 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:49:45,913 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:49:45,916 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:49:45,919 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:49:59,014 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
2015-05-26 20:49:59,043 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:49:59,048 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:49:59,049 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:49:59,054 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:50:09,096 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-05-26 20:50:09,216 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\dev\priva\TeamTool\parent
2015-05-26 20:50:09,220 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-05-26 20:50:36,108 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:50:36,110 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:50:36,113 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:50:36,120 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:50:38,816 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:50:38,820 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:50:38,825 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:50:38,828 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 21:00:16,406 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-rest:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-rest\pom.xml.
2015-05-26 21:00:17,015 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tt-rest/src/main/java
2015-05-26 21:00:17,015 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /tt-rest/src/main/resources
2015-05-26 21:00:17,031 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tt-rest/src/test/java
2015-05-26 21:00:17,640 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 1 sec
2015-05-26 21:00:18,000 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-rest:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-rest\pom.xml.
2015-05-26 21:00:18,375 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2015-05-26 21:00:18,375 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-05-26 21:00:18,375 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2015-05-26 21:00:18,375 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-rest\src\test\resources
2015-05-26 21:00:18,765 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-rest:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-rest\pom.xml.
2015-05-26 21:00:19,109 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2015-05-26 21:00:19,109 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-05-26 21:00:19,109 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2015-05-26 21:00:19,109 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-rest\src\test\resources
2015-05-26 21:00:19,812 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-rest:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-rest\pom.xml.
2015-05-26 21:00:20,375 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2015-05-26 21:00:20,375 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-05-26 21:00:20,390 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
